Año,CodEstablecimiento,Departamento,Depto_mupio,Sector,Area,Sexo,Grado,Nivel,Pueblo,Plan_estudios,Jornada,Resultado,Repitente,Graduando,municipio_codigo,Sector_codigo,Área_codigo,Sexo_codigo,Nivel_codigo,Pueblo_Per_codigo,Plan_Est_codigo,Jornada_Est_codigo,Resultado_F_codigo,Repitente_codigo,Graduando_codigo,Departamento_F_codigo
2024,15-08-0356-43,Baja Verapaz,1501,Público,Rural,Hombre,6,Primaria,Maya,Diario,Matutina,Promovido,No,No,15-08,1,2,1,2,1,1,1,1,2,2,15
2024,15-01-0145-45,Baja Verapaz,1501,Público,Rural,Hombre,2,Básico,Ladino/Mestizo,Diario,Vespertina,Promovido,No,No,15-01,1,2,1,3,5,1,2,1,2,2,15
2024,19-01-0009-43,Zacapa,1901,Público,Urbana,Hombre,3,Primaria,Ladino/Mestizo,Diario,Matutina,Promovido,No,No,19-01,1,1,1,2,5,1,1,1,2,2,19
2024,15-03-0100-43,Baja Verapaz,1501,Público,Urbana,Hombre,2,Primaria,Ladino/Mestizo,Diario,Matutina,Promovido,No,No,15-03,1,1,1,2,5,1,1,1,2,2,15
2024,02-07-0609-43,El Progreso,201,Privado,Urbana,Mujer,2,Primaria,Ladino/Mestizo,Diario,Matutina,Promovido,No,No,02-07,2,1,2,2,5,1,1,1,2,2,2
2024,15-01-1352-42,Baja Verapaz,1501,Público,Rural,Hombre,6,Preprimaria,Ladino/Mestizo,Diario,Matutina,Promovido,No,No,15-01,1,2,1,1,5,1,1,1,2,2,15
2024,02-01-0018-43,El Progreso,201,Público,Rural,Hombre,6,Primaria,Ladino/Mestizo,Diario,Matutina,Promovido,No,No,02-01,1,2,1,2,5,1,1,1,2,2,2
2024,15-08-0208-45,Baja Verapaz,1501,Público,Urbana,Mujer,3,Básico,Ladino/Mestizo,Diario,Matutina,Promovido,No,No,15-08,1,1,2,3,5,1,1,1,2,2,15
2024,15-05-0189-43,Baja Verapaz,1501,Público,Urbana,Hombre,2,Primaria,Ladino/Mestizo,Diario,Matutina,Retirado,No,No,15-05,1,1,1,2,5,1,1,3,2,2,15
2024,15-04-0099-45,Baja Verapaz,1501,Público,Urbana,Hombre,1,Básico,Maya,Diario,Matutina,Promovido,No,No,15-04,1,1,1,3,1,1,1,1,2,2,15
2024,15-02-0029-42,Baja Verapaz,1501,Público,Rural,Mujer,4,Preprimaria,Maya,Diario,Matutina,Promovido,No,No,15-02,1,2,2,1,1,1,1,1,2,2,15
2024,02-03-0492-42,El Progreso,201,Público,Rural,Mujer,4,Preprimaria,Ladino/Mestizo,Diario,Matutina,Retirado,No,No,02-03,1,2,2,1,5,1,1,3,2,2,2
2024,02-01-0002-42,El Progreso,201,Público,Urbana,Hombre,4,Preprimaria,Ladino/Mestizo,Diario,Matutina,Promovido,No,No,02-01,1,1,1,1,5,1,1,1,2,2,2
2024,02-03-0042-43,El Progreso,201,Público,Rural,Hombre,4,Primaria,Ladino/Mestizo,Diario,Matutina,Promovido,No,No,02-03,1,2,1,2,5,1,1,1,2,2,2
2024,15-01-1950-43,Baja Verapaz,1501,Público,Urbana,Hombre,4,Primaria,Ladino/Mestizo,Diario,Matutina,Promovido,No,No,15-01,1,1,1,2,5,1,1,1,2,2,15
2024,02-07-0527-42,El Progreso,201,Público,Urbana,Mujer,6,Preprimaria,Ladino/Mestizo,Diario,Vespertina,Promovido,No,No,02-07,1,1,2,1,5,1,2,1,2,2,2
2024,19-01-0072-45,Zacapa,1901,Público,Urbana,Mujer,2,Básico,Ladino/Mestizo,Diario,Matutina,Promovido,No,No,19-01,1,1,2,3,5,1,1,1,2,2,19
2024,15-03-1478-42,Baja Verapaz,1501,Público,Rural,Hombre,0,Preprimaria,Maya,Diario,Matutina,Promovido,No,No,15-03,1,2,1,1,1,1,1,1,2,2,15
2024,02-02-0051-43,El Progreso,201,Público,Rural,Hombre,3,Primaria,Ladino/Mestizo,Diario,Matutina,Promovido,No,No,02-02,1,2,1,2,5,1,1,1,2,2,2
2024,19-04-0627-45,Zacapa,1901,Privado,Urbana,Hombre,2,Básico,Ladino/Mestizo,Diario,Vespertina,Promovido,No,No,19-04,2,1,1,3,5,1,2,1,2,2,19
2024,15-01-2030-43,Baja Verapaz,1501,Público,Rural,Mujer,1,Primaria,Ladino/Mestizo,Diario,Matutina,Retirado,Sí,No,15-01,1,2,2,2,5,1,1,3,1,2,15
2024,19-07-0228-43,Zacapa,1901,Público,Urbana,Mujer,6,Primaria,Ladino/Mestizo,Diario,Matutina,Promovido,No,No,19-07,1,1,2,2,5,1,1,1,2,2,19
2024,15-04-0085-43,Baja Verapaz,1501,Público,Rural,Hombre,2,Primaria,Maya,Diario,Matutina,No promovido,No,No,15-04,1,2,1,2,1,1,1,5,2,2,15
2024,15-01-0029-43,Baja Verapaz,1501,Público,Rural,Hombre,4,Primaria,Ladino/Mestizo,Diario,Matutina,Promovido,No,No,15-01,1,2,1,2,5,1,1,1,2,2,15
2024,02-01-0009-43,El Progreso,201,Público,Rural,Mujer,4,Primaria,Ladino/Mestizo,Diario,Matutina,Promovido,Sí,No,02-01,1,2,2,2,5,1,1,1,1,2,2
2024,19-10-0298-43,Zacapa,1901,Público,Rural,Hombre,4,Primaria,Ladino/Mestizo,Diario,Matutina,Promovido,No,No,19-10,1,2,1,2,5,1,1,1,2,2,19
2024,19-07-0229-43,Zacapa,1901,Público,Rural,Mujer,1,Primaria,Ladino/Mestizo,Diario,Matutina,No promovido,No,No,19-07,1,2,2,2,5,1,1,5,2,2,19
2024,02-04-0015-42,El Progreso,201,Público,Rural,Hombre,4,Preprimaria,Ladino/Mestizo,Diario,Matutina,Promovido,No,No,02-04,1,2,1,1,5,1,1,1,2,2,2
2024,15-02-0115-45,Baja Verapaz,1501,Privado,Rural,Mujer,3,Básico,Maya,Fin de semana,Doble,Promovido,No,No,15-02,2,2,2,3,1,2,4,1,2,2,15
2024,15-02-2129-45,Baja Verapaz,1501,Público,Rural,Hombre,1,Básico,Maya,Diario,Matutina,Promovido,No,No,15-02,1,2,1,3,1,1,1,1,2,2,15
2024,15-05-0201-43,Baja Verapaz,1501,Público,Rural,Mujer,2,Primaria,Ladino/Mestizo,Diario,Matutina,Promovido,No,No,15-05,1,2,2,2,5,1,1,1,2,2,15
2024,15-04-0166-43,Baja Verapaz,1501,Público,Rural,Hombre,1,Primaria,Maya,Diario,Matutina,Promovido,No,No,15-04,1,2,1,2,1,1,1,1,2,2,15
2024,02-07-0632-42,El Progreso,201,Público,Rural,Hombre,6,Preprimaria,Ladino/Mestizo,Diario,Vespertina,Promovido,No,No,02-07,1,2,1,1,5,1,2,1,2,2,2
2024,19-04-0071-46,Zacapa,1901,Privado,Urbana,Mujer,4,Diversificado,Ladino/Mestizo,Semipresencial,Ignorado,Promovido,No,Sí,19-04,2,1,2,4,5,4,9,1,2,1,19
2024,19-05-0891-42,Zacapa,1901,Público,Rural,Hombre,4,Preprimaria,Ladino/Mestizo,Diario,Matutina,Promovido,No,No,19-05,1,2,1,1,5,1,1,1,2,2,19
2024,02-01-0017-43,El Progreso,201,Público,Rural,Hombre,1,Primaria,Ladino/Mestizo,Diario,Matutina,Retirado,No,No,02-01,1,2,1,2,5,1,1,3,2,2,2
2024,19-11-0004-42,Zacapa,1901,Público,Rural,Mujer,2,Preprimaria,Ladino/Mestizo,Diario,Matutina,Promovido,No,No,19-11,1,2,2,1,5,1,1,1,2,2,19
2024,19-02-0912-43,Zacapa,1901,Público,Urbana,Mujer,2,Primaria,Ladino/Mestizo,Diario,Matutina,Promovido,No,No,19-02,1,1,2,2,5,1,1,1,2,2,19
2024,15-07-0766-42,Baja Verapaz,1501,Público,Rural,Mujer,5,Preprimaria,Ladino/Mestizo,Diario,Matutina,Promovido,No,No,15-07,1,2,2,1,5,1,1,1,2,2,15
2024,15-02-0062-41,Baja Verapaz,1501,Público,Rural,Mujer,5,Preprimaria,Maya,Diario,Matutina,Promovido,No,No,15-02,1,2,2,1,1,1,1,1,2,2,15
2024,15-08-0070-43,Baja Verapaz,1501,Público,Rural,Mujer,2,Primaria,Maya,Diario,Matutina,Promovido,No,No,15-08,1,2,2,2,1,1,1,1,2,2,15
2024,15-02-0076-43,Baja Verapaz,1501,Público,Rural,Hombre,1,Primaria,Maya,Diario,Matutina,Promovido,No,No,15-02,1,2,1,2,1,1,1,1,2,2,15
2024,19-01-0921-42,Zacapa,1901,Público,Rural,Mujer,6,Preprimaria,Ladino/Mestizo,Diario,Matutina,Promovido,No,No,19-01,1,2,2,1,5,1,1,1,2,2,19
2024,02-01-0735-43,El Progreso,201,Privado,Urbana,Mujer,3,Primaria,Ladino/Mestizo,Diario,Matutina,Promovido,No,No,02-01,2,1,2,2,5,1,1,1,2,2,2
2024,19-02-0095-45,Zacapa,1901,Público,Urbana,Mujer,2,Básico,Ladino/Mestizo,Diario,Matutina,Promovido,No,No,19-02,1,1,2,3,5,1,1,1,2,2,19
2024,19-09-1222-42,Zacapa,1901,Público,Rural,Mujer,6,Preprimaria,Ladino/Mestizo,Diario,Matutina,Promovido,No,No,19-09,1,2,2,1,5,1,1,1,2,2,19
